Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_1,Ast_2,G+A_3,G-PK_4,G+A-PK,xG_5,xAG_6,xG+xAG,npxG_7,npxG+xAG_8
1,Luis Abram,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,1,10,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,24,17,1616,18,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,4,3,13,0.6,0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0,0,0,0,0,0.11,0.43,0.54,0.11,0.54
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0,0,0.1,0.1,3,30,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
11,David Alaba,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6,55,13,0,0.06,0.06,0,0.06,0.07,0.07,0.14,0.07,0.14
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0,0,0,0,0,0.01,0,0.02,0.01,0.02
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,1.3,1.3,0.9,2.3,26,87,21,0.16,0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18
17,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.8,0.8,0.1,1,17,89,3,0.07,0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,1.4,1.4,1.8,3.2,63,25,88,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,3,1,0,0,6,1,1.8,1.8,1.3,3.1,33,81,65,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,1.39,0,1.39,1.39,1.39
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,0,6,0,0.5,0.5,0.1,0.6,16,64,4,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
23,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,4,1,0,0,2,1,0.3,0.3,2.3,2.5,33,72,25,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,1,0,0,0,0,0,0,0,0.1,0.1,5,4,6,0,1.14,1.14,0,1.14,0.03,0.1,0.13,0.03,0.13
